Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Data Analyst,DAT Solutions,Not disclosed,Bengaluru,About DAT DAT is a next-generation SaaS technology company that has been at the lead...,1 Day Ago,Supply chain management,Excel,Analytical,Industrial engineering,power bi,Data Analyst,Data analytics,Freight
Data Analyst,Cognizant,Not disclosed,"Hybrid - Bangalore Rural, Hyderabad, Chennai",Ex- employee of cognizant(yes / no): . Will be validating the response and proceed it a...,13 Days Ago,Data Analysis,SQL,Data Analytics,Analysis,Data,Analytics,,
Data Analyst,Bluestone.com,Not disclosed,Bengaluru,"Educational Qualifications: 2-4 years of experience in data analysis or related fields,...",5 Days Ago,Data Analysis,develop dashboards,Data Management,Data Visualization,Data Extraction,Data Analytics,Dashboard Development,Development
Data Analyst,Visa,Not disclosed,Bengaluru,"Job Description The position will be based in Visa s Bangalore office, and you will b...",Just Now,Computer science,Data analysis,Legal compliance,Analytical,Consulting,Agile,JIRA,Stakeholder management
"Data Analyst, India- X Delivery",Boston Consulting Group,Not disclosed,Bengaluru,"#LI-ND1 #BCGXjob. What Youll Bring. Bachelors / Masters degree (Computer Science, Busin...",Just Now,Data analysis,Data management,Analytical,Consulting,Management consulting,Packaging,Business strategy,Project delivery
Data Analyst,Wipro,Not disclosed,"Hyderabad, Chennai, Bengaluru",Source Control system Git Experience. . .,1 Day Ago,Data Analysis,sql queries,java,oracle,c,git,exadata,golden gate
Data Analyst,Faptic Technology,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". 2 + years experience as a Data Analyst, Business Analyst, Operations Analyst or simil...",8 Days Ago,Data analysis,Excel,SAS,Analytical,Data collection,Data Analyst,Data analytics,SQL
Data Analyst,Neuralix.ai,Not disclosed,Bengaluru,"Bachelor s degree in Data Science, Statistics, Computer Science, Mathematics, or a rela...",1 Day Ago,Computer science,Data analysis,Trend analysis,Machine learning,Data collection,Predictive modeling,Data quality,Forecasting
Data Analyst,Haleon,Not disclosed,Bengaluru,Preferred Qualifications: Bachelor s degree or equivalent Solid experience of managing ...,1 Day Ago,Supply chain,SAP,Costing,Financial reporting,Agile,Healthcare,FMCG,Variance analysis
Data Analyst,Kwalee,Not disclosed,Bengaluru,Proven experience with programmatic analysis tools to enhance data-driven strategies,2 Days Ago,Development management,Data analysis,Publishing,data science,Talent acquisition,Data structures,Data Analyst,Gaming
Data Analyst,Leading Client,Not disclosed,"India, Bengaluru","Qualification :Bachelors degree in Information Systems, Business, or equivalent Require...",1 Day Ago,c#,sql server,visual studio,.net,asp,css,crystal report,sap bo
