Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Data Scientist: Artificial Intelligence,IBM,Not disclosed,Bengaluru,Required Technical and Professional Expertise Resource should have 5-7 years of experie...,1 Day Ago,python,data analytics,artificial intelligence,tableau,ml,hive,algorithms,data analysis
Data Scientist III,Walmart,Not disclosed,Bengaluru,Position Summary... ...,Just Now,Supply chain,Web analytics,Analytical,Business solutions,Merchandising,Forecasting,Information technology,Monitoring
Data Scientist,IBM,Not disclosed,Bengaluru,Preferred Technical and Professional Expertise . Masters degree in Data Science Compute...,1 Day Ago,python,ibm cloud,microsoft azure,microservices,aws,advance sql,data analysis,data analytics
Data Scientist,IBM,Not disclosed,Bengaluru,"Hands-on experience in transformer-based and diffuser-based models (e.g., BERT, GPT, T5...",1 Day Ago,python,c++,golang,aiml,java,continuous integration,rest,transformers
Opportunity | Data Scientist (Recommender Systems) | Tavant India,Tavant Technologies,Not disclosed,"Hybrid - Bangalore/Bengaluru, Noida, Hyderabad/Secunderabad",Role : Lead Data Scientist (TA / Senior TA). Exp : 10 - 20 years. Mode of work : Hybrid...,1 Day Ago,Recommender Systems,python,NLP,machine learning,Deep learning,elastic search,Natural language processing,Searching
Lead Gen AI Data Scientist - GenAI,Neal Analytics,Not disclosed,"Mumbai, Pune, Chennai, Gurugram, Bengaluru","Cloud certification is preferred. Proficiency in Python and libraries such as PyTorch,...",Just Now,Career development,GCP,Analytical,Machine learning,Workflow,Application development,Open source,Analytics
Data Scientist,Tiger Analytics,Not disclosed,"Hybrid - Hyderabad, Chennai, Bengaluru","Problem Solving: While technical proficiency in data manipulation, statistical modellin...",Just Now,Regression,Machine Learning,Data Science,Classification,Python,Predictive Modeling,Logistic Regression,Market Mix Modelling
DATA SCIENTIST,Sasken Technologies,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Engineering graduate, MCA, etc Experience Person demonstrates the ability to analyse an...",1 Day Ago,Unix,Computer vision,SAS,Machine learning,SCALA,Perl,SPSS,MATLAB
Data Scientist: AI/ML Engineer,IBM,Not disclosed,Bengaluru,"Required Technical and Professional Expertise Proficient in Python, FastAPI & other Dat...",7 Days Ago,docker,multithreading,podman,python,data analytics,kubernetes,openshift,redhat linux
Data Scientist: AI/ML Engineer,IBM,Not disclosed,Bengaluru,"Required Technical and Professional Expertise Proficient in Python, FastAPI & other Dat...",7 Days Ago,multithreading,rest,python,data analytics,asynchronous apex,kubernetes,openshift,redhat linux
Data Scientist - APM,Smiths,Not disclosed,Bengaluru,The Individual. At least 10 years of experience with 7 years of experience as data scie...,1 Day Ago,Solution architecture,Data modeling,Analytical,Artificial Intelligence,Machine learning,Data structures,application architecture,Open source
Principle Data Scientist,Vayuz Technologies,Not disclosed,"Mumbai, Delhi / NCR, Bengaluru","Experience with Azure OpenAI & DataBricksExperience in a pharmaceutical, medical device...",1 Day Ago,Pytorch,Azure,Machine learning,Artificial intelligence,AWS,NoSQL,Data Scientist,Keras
Data Scientist/AI Architect,Mobinius Technologies,Not disclosed,Bengaluru,"Experience with Generative AI models (e . g . ., GPT, diffusion models) and practicalkn...",1 Day Ago,Computer science,Computer vision,Automation,Project management,Machine learning,Application development,Distribution system,Analytics
DCM Infotech | Hiring For Data Scientist Position | US based client |,DCM Infotech,15-30 Lacs PA,Remote,"Dear Candidates, We are hiring for the CREDIT DATA SCIENTISTJob Description :-MAJOR DUT...",Just Now,python,SAS,Credit Risk,SQL,R,Credit Risk Modelling,Credit,Data
Data Scientist,gf,Not disclosed,Bengaluru,"Bachelor s degree in a quantitative field such as Statistics, Mathematics, Computer Sci...",1 Day Ago,Fabrication,Computer science,Semiconductor,Data analysis,SAS,Machine learning,Agile,Analytics
"Data Scientist- Python, AWS, Gen AI",Winning Edge,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,1 Day Ago,Data Science,Tensorflow,Pytorch,R,NLP,Python,Data,Gen
"Data Scientist- Python, AWS, Gen AI",Winning Edge,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,2 Days Ago,Tensorflow,Pytorch,R,NLP,Python,Azure,Data Scientist,Hugging Face
Data Scientist,Techwaukee,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Deep learning (CV, NLP, Pytorch, tensorflow, etc) experience is a plus but no longer ma...",1 Day Ago,deep learning,data science,Machine learning,Python,Machine,Data,Science,
Data Scientist,Info Test Ehire Campaign,Not disclosed,Bengaluru,3-7 years of experience in data science or a related field Experience working with stru...,1 Day Ago,Data Science,nlp,natural language processing,python,Processing,Process,Data,Science
Data Scientist,Forbes Global 2000 IT Services Firm,"80,000-1.25 Lacs PA","Hyderabad, Chennai, Bengaluru","Preferred Qualifications: . - Experience in the financial services, healthcare, or reta...",1 Day Ago,YOLO,Leverage Python,Databricks,Python,Data Bricks,Data,,
Data Scientist -GEN AI/ AI ML,EY,Not disclosed,"Hybrid - Noida, Kolkata, Bengaluru",: Senior Data Scientist. Role Overview: We are seeking a highly skilled and experienced...,5 Days Ago,GEN AI,NLP,LLM,Machine Learning,Natural Language Processing,Cloud,Deep Learning,Languages
Data Scientist,IBM,Not disclosed,Bengaluru,Measure performance and establish new measurement systems to detect performance shifts ...,6 Days Ago,advance sql,customer analytics,python,presentation skills,marketing analytics,digital marketing,applied mathematics,mathematics
Data Scientist - All Genpact locations,Genpact,Not disclosed,"Hyderabad, Gurugram, Bengaluru","Qualifications: . Education: Bachelors or master s degree in computer science, Statisti...",12 Days Ago,Data Science,Predictive Modeling,GIT,Logistic Regression,Time Series Analysis,Customer Analytics,Statistical Modeling,Marketing Mix
Data Scientist - 3,Acko,Not disclosed,Bengaluru,"Pilot robust experiments and create mechanisms to evaluate model efficacy, pioneering e...",5 Days Ago,deep learning,data science,Analytical,Machine learning,Mathematics,Customer experience,Open source,SQL
Data Scientist: Artificial Intelligence,IBM,Not disclosed,"Hyderabad, Bengaluru",Required Technical and Professional Expertise Resource should have 5-7 years of experie...,8 Days Ago,algorithms,python,data analytics,artificial intelligence,ml,data analysis,natural language processing,pyspark
Data Scientist,Volvo Penta,Not disclosed,Bengaluru,"You must have a proven experience in Data modelling - Regression, Clustering, Neural Ne...",11 Days Ago,Automation,C++,Powertrain,Mechatronics,Simulation,Construction equipment,Simulink,MATLAB
Data Scientist,TransOrg,Not disclosed,"Gurgaon/ Gurugram, Bengaluru, Mumbai (All Areas)",". Bachelors in Computer Science, Engineering, Statistics, Maths or related quantitative...",6 Days Ago,Natural Language Processing,Machine Learning,Python,SQL,Logistic Regression,predictive modeling,Linear Regression,Time Series Analysis
Gen AI Data Scientist - Pan India,Genpact,Not disclosed,"Hyderabad, Gurugram, Bengaluru","Experience in tokenization and embeddings and must have used GPT, LLaMA, Huggingface, M...",8 Days Ago,Generative AI,GEN AI,Data Science,Predictive Modeling,Natural Language Processing,Neural Networks,Machine Learning,Deep Learning
"Data Scientist- Python, AWS, Gen AI",Winning Edge,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,2 Days Ago,R,Python,Tensorflow,Pytorch,NLP,HuggingFace,AWS,Gen
Data Scientist,Hanker Systems (india),Not disclosed,"Chennai, Bengaluru",Good understanding of how to apply predictive and machine learning techniques like Prof...,4 Days Ago,PySpark,Statistics,Pytorch,Python,Flask,random forest,Machine Learning,neo4j
"Data Scientist- Python, AWS, Gen AI",Winning Edge,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,5 Days Ago,Tensorflow,R,NLP,Hugging Face,Python,Pytorch,Azure,Data Scientist
Data Scientist,Datacorp Traffic,Not disclosed,Bengaluru,"Undertaking data collection, preprocessing and analysis Building models to address ...",4 Days Ago,Data Scientist,,,,,,,
Data Scientist,Elevate Global,Not disclosed,Bengaluru,"We leverage decades of experience and proprietary insights to enhance revenues, improve...",5 Days Ago,Mining,Excel,data science,Analytical,Consulting,Hypothesis Testing,Forecasting,SQL
Data Scientist,Quest Global Technologies,Not disclosed,Bengaluru,Experience in data mining . Understanding of machine-learning and operations research ....,5 Days Ago,Operations research,tableau,spark,Analytical,Machine learning,Hadoop,Data mining,Business intelligence
Data Scientist,Ducker Worldwide Management Consulting,Not disclosed,Bengaluru,"We leverage decades of experience and proprietary insights to enhance revenues, improve...",5 Days Ago,Mining,Computer science,Excel,data science,Analytical,Consulting,Hypothesis Testing,Forecasting
Data Scientist III,Walmart,Not disclosed,Bengaluru,"Exposure to nvidia frameworks like DeepStream, TensorRT, Triton is a big plus . Bachelo...",8 Days Ago,Computer vision,data science,Coding,Machine learning,SEZ,Information technology,Monitoring,Business operations
Data Scientist,Flipkart,Not disclosed,Bengaluru,Build Pricing Machine Learning Products. To succeed in this role you should have the fo...,13 Days Ago,Machine Learning,Mathematical Optimization,Mathematical Modeling,Statistical Modeling,Data Mining,Modeling,Statistics,Machine
GPSG-Data Scientist,IBM,Not disclosed,Bengaluru,Required Technical and Professional Expertise Preferred Technical and Professional Expe...,14 Days Ago,python,ibm cloud,machine learning,data science,machine learning algorithms,algorithms,scipy,natural language processing
Data Scientist,Ugam,Not disclosed,"Hybrid - Bengaluru, Mumbai (All Areas)","Must have: Coding using Python, including use of common packages such as Jupyter, NumPy...",5 Days Ago,Market Mix Modelling,Statistical Modeling,R,Regression,Time Series,Data Modeling,Python,Modeling
Data Scientist- Gen AI,Tech Mahindra,Not disclosed,"Hyderabad, Bengaluru","Role & responsibilities Preferred candidate profile -4+ years of experience in AI/ML, ...",11 Days Ago,Gen AI,Python,NLP,Machine Learning,Deep Learning,Machine,Gen,Data
Data Scientist/ Data & AI Engineer,Trianz,8-18 Lacs PA,"Hyderabad, Bengaluru","Data Experience: 3+ years of hands-on experience in modern, cloud platform areas like d...",8 Days Ago,Machine Learning,Data Science,Fullstack Development,AWS,Python,Java,Data Engineering,Data Management
