Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Senior Machine Learning Data Engineer,Blueoptima,Not disclosed,Bengaluru,Job Description Job Summary: BlueOptima has a truly unique collection of vast datase...,3 Days Ago,Coding,Postgresql,Artificial Intelligence,Machine learning,Customer support,Management,Analytics,Monitoring
Machine Learning Data Engineer,Blueoptima,Not disclosed,Bengaluru,Within time you should be able to provide your own pipeline of ideas or problems that w...,10 Days Ago,Coding,Project management,Postgresql,Artificial Intelligence,Machine learning,Customer support,Analytics,Monitoring
Machine Learning Engineer (Azure + Databricks),Biz-metric India,Not disclosed,"Mumbai, Chandigarh, Pune, Gurugram, Bengaluru",Bangalore / Gurgaon / Pune / Mumbai / Chandigarh Machine Learning Engineer (Azure + D...,2 Days Ago,Computer vision,Automation,Image processing,Coding,Artificial Intelligence,Machine learning,Data collection,Natural language processing
Machine Learning Engineer,Neyvin Technologies (opc),27.5-42.5 Lacs PA,Remote,"Experience in programming skills in Python, Langchain and SQL is a mustPerform business...",5 Days Ago,Microsoft Azure,LLM,Machine Learning,Python,SQL,GCP,Artificial Intelligence,Machine Learning Algorithms
Python Machine learning Engineer,Infosys,Not disclosed,Bengaluru,Bachelor of Engineering . Service Line,6 Days Ago,Python,client relationship management,R,Cloud Technologies,data science,business development,machine learning,Test Driven Development
Machine Learning Engineer,Infosys,Not disclosed,Bengaluru,Communicate complex technical concepts to non-technical stakeholders effectively. . Tec...,6 Days Ago,continuous integration,ci/cd,machine learning,automation tools,infrastructure,kubernetes,python,azure monitoring
Senior Machine Learning Engineer,Xoom,Not disclosed,"Chennai, Bengaluru",- Bachelors with 4+ years of experience or Masters with 2+ years of experience or PhD w...,5 Days Ago,Computer science,Data analysis,data science,Billing,Machine learning,Wellness,Research,Information technology
Machine Learning (ML) Engineer / Computer Vision Engineer,Leading US IT MNC - Great Place to work,15-30 Lacs PA,Remote,Exp of working on LLM & GenAI Family Medical & Company Sponsored CertificationCandidate...,2 Days Ago,Tensorflow,Computer Vision,Machine Learning,generative AI,Image Processing,LLM,Deep Learning,Vision
Machine Learning Engineer,Factspan Analytics,Not disclosed,Hybrid - Bengaluru,"Qualifications & Experience: Bachelors, Masters, or PhD in Computer Science, Machine Le...",4 Days Ago,SQL,MLOps,Docker,MLOps Engineer,Kubernetes,MI Models,Machine Learning,Ml Algorithms
"Staff , Machine Learning Engineer",Automation Anywhere,Not disclosed,Bengaluru,"Bachelor s or Master s Degree in Computer Science, Data Science, or related fieldsBasic...",5 Days Ago,Process automation,Automation,Machine learning,Data collection,Data processing,Customer service,Analytics,SQL
