Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Teacher/Senior Teacher Physics,Neev Academy,Not disclosed,Bengaluru,"Maintain good disciplinary order and child safety standards in the classrooms, on schoo...",1 Day Ago,igcse,chemistry,electronics,project management,mathematics,administration,customer service,teaching
Asst Prof/Lecturer Medical Physics,Narayana Health (NH),2.25-4.5 Lacs PA,Bangalore/Bengaluru,Translates professional experience in to the academic context as appropriate,7 Days Ago,curriculum development,staff development,Education,Medical Physics,supervision,lecturer,teaching,lecturer activities
"Faculty - Mathematics, Physics & Chemistry",K12 Techno Services,7-7.5 Lacs PA,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Conduct IIT JEE foundation classes up to grade 10 Eligibility & Skills : . BTech from a...,11 Days Ago,Teaching,Science,Mathematics,Educator,Physics,Communication Skills,Presentation Skills,Lecturer Activities
Physics Teacher,NIYA Academy,3-4.75 Lacs PA,Bengaluru(Uttarahalli +3),Willing to work in rotational shifts and week end classes Preferred candidate profile ...,10 Days Ago,Physics,TGT,Tutoring,Education,PGT,Teaching,Teaching Biology,
Senior Lecturer Physics,RV Educational Institutions,Not disclosed,"Mysuru, Bengaluru",Role: Senior Lecturer - Physics . Industry Type: Education . Department: Physics. Emplo...,6 Days Ago,JEE Advanced,JEE Main,NEET UG & KCET Coaching,Coaching,UG,Main,JEE,JEE Technologies
"Science Teacher : Physics , Chemistry , Biology , Maths",Dev Solutions,Not disclosed,Bengaluru,Candidates could be from IITs/ NITs with 5 - 15 years experience You are an MSc graduat...,30+ Days Ago,Webmethods,Chemistry,Biology,Teaching,Mathematics,Physics,Science teaching,Science
PHYSICS FACULTY,Avanti,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Avanti is looking for PHYSICS FACULTY to join our dynamic team and embark on a rewar...,30+ Days Ago,mathematics,pedagogy,tutoring,academics,teaching,training,mentoring,counselling
Assistant Professor - Physics,Sambhram Institute Of Technology,Not disclosed,"Bengaluru, Bangalore",Required Assistant Professor for Physics,30+ Days Ago,Professor,Tutor,Teachers,Education,Trainer,Lecturer,Physics,Teaching
Physics - Assistant Professor,Dayananda Sagar Institutions (DSI),Not disclosed,Bengaluru,Bachelors or Masters level) in the First Class Degree at Masters Level in the Professio...,30+ Days Ago,Counselor,Mentor,Trainer,Advisor,Educator,Teaching,Advisory,Assistance
Physics- Assistant Professor,CMR Jnanadhara Trust,Not disclosed,Bengaluru,"The applicant should have a good academic record, relevant experience and an impressive...",30+ Days Ago,Counselor,Mentor,Trainer,Advisor,Educator,Teaching,Mentoring,Counselling
Senior Teacher/Teacher Physics,Neev Academy,Not disclosed,Bengaluru,BEd and Masters in Science . Minimum 5 years in teaching . Education - . Maintain good ...,1 Day Ago,igcse,bed,tgt,chemistry,biology,mathematics,tutoring,teaching
Teacher/Senior Teacher Physics,Neev Academy,Not disclosed,Bengaluru,Responsibilities applicable to DP Teachers only . Maintain good disciplinary order and ...,1 Day Ago,Supervisor,Usage,Strategic planning,Support services,Monitoring,ICSE,Teaching,Supervision
Physics Teacher,Drona Training Academy,Not disclosed,Bengaluru,. Must have a Post Graduation level education in the relevant subjectsHelping and suppo...,30+ Days Ago,Mathematics,Research,ICSE,Teaching,Physics,Teaching Biology,,
IITJEE/NEET Physics & Biology Faculty,Gate India Institute Of Tutorials,Not disclosed,Bengaluru,Gate India Institute Of Tutorials is looking for IITJEE / NEET Physics & Biology Facult...,30+ Days Ago,bed,tgt,chemistry,biology,mathematics,professor activities,tutoring,teaching
"Tutor -Physics, Maths, Economics,English,Biology",Aspire High Classes,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",The candidate should have good spoken english skills and should have Masters or higher ...,19 Days Ago,Analytical skills,Economics,Tutor,Biology,WiFi,Teaching,Analytical,Tutoring
Physics Teacher,Sarala Birla Academy,Not disclosed,Bengaluru,Bachelor s or Master s degree in Physics or a related field . Proven experience as a Ph...,30+ Days Ago,Interpersonal skills,Teaching,Interpersonal,Physics,Teaching Biology,Interpersonal Skill,,
Physics Teacher,TriGem Solutions,Not disclosed,Bengaluru,Requirements . Bachelors degree in Physics and Education,30+ Days Ago,ICSE,Monitoring,Teaching,Physics,Teaching Biology,,,
